from;to
ProgramID;merchant_id
Distributor;merchant_name
Deeplink1;aw_deep_link
Img_url;aw_image_url
ProductCategoryID;category_id
ProductCategoryName;category_name
Brand;brand_name
Description_Short;description
CF_Material;description2
CF_delivery_time;delivery_time
Price;search_price
BasePrice;rrp_price
Shipping;delivery_cost
CF_Color;colour
CF_color;colour
CF_colour;colour
CF_Farbe;colour
CF_gender;Fashion:suitable_for
CF_Geschlecht;Fashion:suitable_for
CF_Size;Fashion:size
CF_size;Fashion:size
CF_Größe;Fashion:size
CF_SizeWidth;Fashion:size
CF_Verfügbare Größen;Fashion:size
product_name;Title
merchant_category;category_name
deeplink;aw_deep_link
category_path;category_name
merchant_product_category_path;category_name
Colour;colour
delivery_period;delivery_time
Description;description
Fabric;description2
size;Fashion:size
program_id;merchant_id
program_name;merchant_name
normal_price;rrp_price
cf_saleprice;search_price
CF_Gender;Fashion:suitable_for
price;search_price
CF_Salepreis;search_price
Price_old;rrp_price
title;Title
link;aw_deep_link
image_link;merchant_image_url
categories;category_name
additional_image_link;aw_image_url
product_price_old;rrp_price
product_short_description;description2
Produktlink;aw_deep_link
Bildlink;merchant_image_url
Größe;Fashion:size
Produktname;Title
Gender;Fashion:suitable_for
Bildlink 2;aw_image_url
Farbe;colour
Beschreibung;description
Bildlink 3;alternate_image
Lieferzeit;delivery_time
Versandkosten;delivery_cost
Preis;search_price
Product_Title;Title
Product_Description_long;description
Deeplink_URL;aw_deep_link
Image_big_URL;merchant_image_url
Image_small_URL;aw_image_url
Merchant_Product_Category;category_name
shipping;delivery_cost
Belboon_ProgramId;merchant_id
Deeplink;aw_deep_link
Produkt-Titel;Title
Produktbeschreibung;description
Preis (Brutto);search_price
Produktkategorie;category_name
Versandkosten Allgemein;delivery_cost
Lieferzeit/Verfügbarkeit;delivery_time
gender;Fashion:suitable_for
Hersteller;brand_name
Vorschaubild-URL;aw_image_url
merchant_image_url;merchant_image_url
deeplink;aw_deep_link
short_description;description
image_url;merchant_image_url
image_large_url;merchant_image_url
european_article_number;ean
europäische Artikelnummer EAN;ean
ext_colour;colour
ext_stock;stock_quantity
Produktbeschreibung lang;description
Produktbild-URL;merchant_image_url
in_stock;stock_status
ext_gender;Fashion:suitable_for
ext_size;Fashion:size
ext_stock;stock_status
Kategorie;category_name
Produktbezeichnung;Title
Hersteller-Artikelnummer;Hersteller-Artikelnummer
PZN;PZN
ISBN;ISBN
Artikelnummer;Artikelnummer
Link Produktbild;merchant_image_url
Produkt Kurztext;description